f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,emotion_label
-841.4503,59.81522,4.9465384,19.119576,7.6910963,-0.119106255,-0.6846499,-7.6239033,-4.2429857,3.2998528,-2.2400112,3.7243686,-4.2221355,4.719488,-2.3543673,-1.3463006,-0.7624019,0.8097183,-5.527585,-0.25176212,0.0071445606,0.010066441,0.009954529,0.00977233,0.009525692,0.009222526,0.008872066,0.008484495,0.008070297,0.0076396316,0.007201922,0.006765258,0.006335984,0.005918685,0.0055159,0.0051281634,0.004754277,0.00439161,0.004036376,0.0036842416,-0.0014652762,-0.002072754,-0.0020747178,-0.0020779092,-0.0020821914,-0.002087252,-0.0020925435,-0.0020972344,-0.002100179,-0.0020999212,-0.0020946907,-0.0020825989,-0.0020616702,-0.0020301014,-0.0019863404,-0.0019293218,-0.0018585994,-0.0017743676,-0.0016776334,-0.001570049,186.86409,71.322334,20.826193,26.72068,18.384897,13.154379,12.76892,14.924027,10.966737,10.590838,10.921178,10.704477,9.178861,9.094255,7.66011,7.999991,7.251423,5.6912875,8.764127,5.5371795,12.598248,5.973243,3.8923185,3.2529323,2.9376762,2.5582445,1.8564312,2.2557135,1.5308331,1.686458,1.7063228,1.6368467,1.346221,1.1621218,0.97751373,1.1283212,0.9848751,0.8120919,1.0079246,0.9308522,6.100245,2.893033,2.1609378,1.3761128,1.2915444,1.4351403,0.8997907,1.2877184,0.8378115,0.8454133,0.89903057,0.9255931,0.9856987,0.6488035,0.7382742,0.84806305,0.6313547,0.5932577,0.66129917,0.59555495,neutral
-829.9087,59.93275,4.2243505,23.23264,6.5409613,1.3512148,-1.8890243,-9.299687,-3.4017873,3.450536,-2.502704,3.0408723,-4.518678,4.2278852,-3.3775046,-1.2847842,-1.5543406,1.3930728,-4.9070516,-0.82366854,1.013873e-07,-2.5346825e-08,3.1683531e-09,0.0,-6.3367063e-09,-6.3367063e-09,-1.5841766e-09,0.0,0.0,6.3367063e-09,-3.1683531e-09,-7.920883e-09,-6.3367063e-09,-9.50506e-09,6.3367063e-09,3.1683531e-09,7.920883e-10,-3.9604413e-09,-3.1683531e-09,0.0,2.851518e-08,1.901012e-08,-1.5841766e-09,2.5346825e-08,6.3367063e-09,-6.3367063e-09,2.376265e-09,2.772309e-09,7.128795e-09,-1.5841766e-09,-4.75253e-09,0.0,0.0,7.920883e-10,0.0,-5.940662e-09,0.0,-1.5841766e-09,5.940662e-09,3.9604413e-09,184.03934,67.6187,19.41252,25.817278,18.722582,11.645407,13.491261,14.882549,10.030814,11.075047,11.324829,9.988318,9.8775,9.81721,9.001862,6.808694,7.9231944,5.746098,8.962891,6.131676,13.781285,6.143691,3.722975,3.0535553,3.0209162,2.1459596,1.8536216,2.1654766,1.4203833,1.6807698,1.52156,1.540178,1.2776089,1.250231,1.2852067,0.9386774,1.0156401,0.9290308,1.0361149,0.95206773,6.7842617,3.2819972,2.1055682,1.5573207,1.3144747,1.119494,1.1085311,1.2787117,0.77666134,0.8600803,0.89358914,0.86422056,0.8047598,0.733082,0.7200079,0.668214,0.6781882,0.68262553,0.68094236,0.5982831,neutral
-840.1337,61.38956,5.649216,19.203583,5.2958837,2.4753592,-2.672577,-7.652988,-5.059524,2.2822425,-2.4916756,4.2115507,-4.6988244,2.2352738,-2.2203214,-4.2005787,-0.09971588,1.8368626,-5.1517906,-0.90400934,-0.047050096,-0.06436548,-0.061230224,-0.05776097,-0.052502446,-0.04853468,-0.044416003,-0.038494483,-0.033582542,-0.028948512,-0.023879657,-0.020020247,-0.016074833,-0.011295727,-0.007864266,-0.005764852,-0.0040344447,-0.003937563,-0.004105891,-0.0029289175,-0.013467543,-0.018735072,-0.017418085,-0.016246377,-0.016620355,-0.01695351,-0.01632064,-0.015072728,-0.012774645,-0.010722655,-0.010049765,-0.009181847,-0.007707588,-0.006035876,-0.0038524992,-0.0025596626,-0.0027496836,-0.0027923868,-0.0024314013,-0.0016686484,199.48453,73.2857,25.892702,22.978895,20.22483,13.619929,14.161078,14.672035,11.454903,11.544634,9.301057,10.98697,9.301932,8.915601,5.732004,9.24058,7.1564436,5.9981594,8.971428,5.4904604,13.131233,6.823363,4.5215125,2.4924555,2.7229884,2.157142,1.8943788,2.2908173,1.4508718,1.7478374,1.2706529,1.4881408,1.4768934,1.2612295,0.8215064,1.2674527,1.1130958,1.0563145,1.0484064,0.97866476,5.947659,2.8423321,2.310365,1.3161296,1.2609569,1.2097766,1.0838253,1.4141114,0.7317075,0.84858125,0.908565,0.6996844,0.97020125,0.65422416,0.539823,0.646717,0.7205187,0.6064825,0.6472017,0.60446113,neutral
-840.86554,59.105793,7.6038814,18.920372,6.8597937,3.9387214,-3.453052,-8.011509,-3.9953759,3.878779,-1.0506629,2.988711,-3.626696,2.8655717,-1.1032059,-2.6588697,0.60850126,0.8602133,-4.295116,-1.6712359,-0.0050139064,0.007514567,0.021988967,0.0017476446,-0.026286233,-0.016300417,0.011404126,0.008348495,-0.011732235,-0.007611528,0.012231914,0.011701465,-0.005192862,-0.005937106,0.0064410274,0.0039855754,-0.008741005,-0.009306386,-0.003193757,-0.006144701,0.020779423,0.029234458,0.023815475,0.018406324,0.015896462,0.008287655,0.0017490743,-0.00012012495,0.0020567412,0.004554066,9.298404e-05,-0.001428064,0.003123249,0.0029503524,0.0010853196,6.7234636e-05,0.00029607845,0.00078273454,-0.0033179058,-0.0021150066,192.02129,68.98518,23.817286,24.267445,18.38637,11.937844,14.165583,13.615888,10.708236,10.400433,9.759876,8.586717,9.391796,8.086864,7.1630926,8.441109,7.651283,6.3285556,8.018042,6.088943,13.106066,6.9374743,4.1192207,2.6453876,2.5390155,2.1497521,1.8971434,2.3563201,1.5980037,1.6495396,1.4228361,1.3447984,1.237445,1.3784326,0.99771816,1.0462368,1.118078,0.99985003,0.9643501,1.0104373,5.6982584,3.0528412,1.9958829,1.300331,1.1038753,1.2528536,1.0224361,1.3682349,0.78534174,0.81697196,0.86871475,0.7546223,0.82906085,0.74590707,0.76336086,0.62398374,0.7481446,0.6062588,0.56382346,0.68390846,neutral
-857.76434,71.3634,8.038914,21.934023,8.006898,1.1002966,-3.2173643,-6.8443346,-7.4801817,3.2879303,-3.4187522,2.3726232,-5.182314,4.623489,-3.1252499,-2.8441572,0.063500084,-1.2026844,-4.886058,-1.3082186,0.033542164,0.039930273,0.02141472,0.0012867823,-0.014434403,-0.02369166,-0.026952725,-0.028343206,-0.026942406,-0.018508853,-0.006811104,-0.0016858649,-0.004794424,-0.008119735,-0.0077731973,-0.0060316953,-0.005247777,-0.006337204,-0.0053450465,0.002397705,-0.028993918,-0.036242574,-0.03161624,-0.030941602,-0.029449178,-0.027887752,-0.0280969,-0.026623989,-0.020626552,-0.017107693,-0.015848426,-0.012941573,-0.0077608335,-0.0041135163,-0.0038478447,-0.0021084289,0.0022953562,0.0067511317,0.009203509,0.009329639,184.94516,70.83524,25.99756,25.803059,20.278698,14.217311,13.65588,12.856117,11.395914,13.898272,10.554171,9.288813,10.78912,9.041593,8.734478,8.544535,8.512201,7.9086185,8.238308,7.314529,13.7505245,7.2483335,4.3084083,2.998198,2.8568745,2.1707003,2.0147307,1.9780343,1.5901313,1.929406,1.5067881,1.5050925,1.3864079,1.3427463,1.2131982,1.1221033,1.2413913,1.1630652,0.9330796,1.102274,6.9791784,3.1614544,2.0283456,1.3987844,1.2851568,1.1476983,1.0369092,1.1551706,0.88897955,0.8073335,0.9664325,0.88629866,0.7877252,0.76791465,0.77402025,0.6928366,0.8191922,0.74371445,0.5867499,0.71040374,calm
-839.62964,81.37264,6.283836,21.548496,10.370857,0.32833305,-4.0615244,-5.6377716,-6.147826,5.094532,-1.282039,2.3267117,-4.4275,3.6765194,-1.8136246,-3.527508,0.1604851,0.033473626,-4.1018043,-1.5477787,-0.062167857,-0.06727955,-0.034719918,-0.023004817,-0.019021843,-0.007026017,0.0039096717,0.005340139,-0.0008557231,-0.00845239,-0.009006509,-0.0021361543,0.0021421474,-0.0011844254,-0.0062253103,-0.0075211907,-0.006467775,-0.0050569293,-0.003463753,-0.0038092635,0.016072653,0.0125313075,-0.0038974546,-0.010057553,-0.011269249,-0.015533311,-0.020073526,-0.02137756,-0.018205846,-0.01162097,-0.008455424,-0.011835499,-0.013185697,-0.0061429357,0.002339868,0.0036611913,-0.0011073493,-0.0059527983,-0.0066571673,-0.0032919217,178.86075,75.7557,27.447723,24.39484,21.196596,12.5738945,14.601407,11.859114,11.350157,12.703143,11.694527,9.107993,10.287817,8.989387,8.509688,9.045336,7.583591,7.2118163,8.567176,6.9050784,13.3278265,7.0864463,4.36937,2.8329296,2.875472,1.9150171,1.8628974,1.8657377,1.5674299,1.7834654,1.7503287,1.472083,1.6023679,1.3877828,1.288938,1.0759425,1.1509074,1.0666031,1.0488133,1.2363311,6.522173,2.8774426,1.9133893,1.2883037,1.3627782,0.98560596,0.9203063,0.97616357,0.78056425,0.8609222,0.91883266,0.9077525,0.81406695,0.84425706,0.71694016,0.59714323,0.7559849,0.6221371,0.64615965,0.6964923,calm
-823.5033,76.01868,6.8895917,21.522278,6.9096704,4.240746,-1.9129233,-5.8949237,-5.290633,3.820667,0.13395467,3.7238746,-4.302071,5.713478,-4.2221913,-4.1199307,0.41387334,0.005387417,-6.0608683,-0.9308719,0.06373794,0.07877369,0.05670244,0.03974092,0.029497793,0.022003222,0.014167449,0.008512522,0.009829873,0.01367645,0.015366925,0.017825821,0.01975085,0.017281305,0.011571828,0.0050805714,0.0024562317,0.005635721,0.0074547864,0.004776088,-0.007303168,-0.008953538,-0.0074580847,-0.009103303,-0.012385628,-0.013435319,-0.011127025,-0.007959488,-0.0062645474,-0.005474858,-0.004837898,-0.0055226977,-0.007177535,-0.0061025997,0.00025926277,0.008846601,0.0131864725,0.010613685,0.005199685,0.001970219,202.08272,81.00486,29.363945,25.481077,20.201027,13.454053,15.171528,14.103216,12.143843,14.406036,10.541293,8.726097,10.530457,8.93877,9.093615,8.5339,7.05252,8.385692,9.727421,6.3503103,13.128434,8.281813,4.5991764,2.964771,2.7318223,2.3063908,2.0925744,2.4113514,1.6270238,1.7688725,1.5263603,1.2723919,1.4126457,1.3064584,1.124437,1.0027579,1.1036547,1.1403836,1.380528,0.98703223,5.5711613,3.345376,2.0793147,1.2662262,1.4984064,1.2044477,1.058595,1.2098417,0.82238865,0.7855764,0.936863,0.795778,0.8478251,0.7501354,0.7617931,0.60797083,0.6772923,0.7255762,0.70044637,0.6566468,calm
-826.5217,79.09566,5.5797668,22.462719,7.800035,3.968286,-3.2385259,-6.5290656,-5.468041,2.8411376,-0.34225234,3.0411625,-4.1973877,4.959179,-3.087459,-3.8602438,0.06793953,0.40077442,-5.849939,-1.9599158,-0.051354595,-0.058511425,-0.03090139,-0.012518467,-0.008866174,-0.0124239875,-0.012312012,-0.003774833,0.0026646976,-0.0027564832,-0.01094007,-0.011727491,-0.009435387,-0.009409635,-0.012692237,-0.01846853,-0.018322455,-0.007875474,0.00090238504,-0.0001456492,0.015649563,0.015537795,0.0032016842,-0.0035030232,-0.0023208584,0.002503494,0.0048619946,0.0009540264,-0.0029211144,0.0008462434,0.0056753648,0.0036349501,-0.00026431255,-0.0011002681,0.00094648235,0.0056815585,0.006203775,-0.0020075256,-0.00787989,-0.0050715655,204.32098,79.188644,27.534082,23.509798,18.204494,12.85836,14.11618,13.019776,11.355563,13.340147,9.832579,9.122702,10.807087,8.873238,8.941363,9.045343,7.113605,8.185837,9.300937,6.4180994,12.561932,7.8167744,4.325253,2.6690917,2.489615,2.4256616,1.928707,2.1673605,1.444031,1.8190687,1.4996794,1.1788253,1.3778218,1.2718,1.1000355,1.1386914,1.124424,1.2220557,1.1132618,1.0553954,5.8577704,3.3228889,2.0156267,1.1371328,1.2073785,1.2567648,1.068814,1.0645957,0.80192167,0.74253815,0.927387,0.776149,0.8032287,0.8011679,0.74059004,0.66100705,0.64091206,0.69092554,0.65504295,0.6363852,calm
-851.6231,86.32853,9.365821,24.753351,11.006558,1.9191542,-2.5850616,-2.3956776,-5.654622,5.6902137,1.438017,2.3800924,-3.458166,5.4911237,-0.68234545,-0.03268975,-1.7118804,4.7199836,-7.8043613,1.0248017,0.16180886,0.14197809,0.03957406,0.037130844,0.03414757,0.019625425,0.007041633,0.00027690455,-0.010050324,0.003900642,0.03389618,0.020340374,0.0016086791,0.008377532,0.009849236,0.016261416,-0.005919109,-0.018412767,-0.015066562,-0.008951201,-0.065564215,-0.03973189,0.02944691,0.040887617,0.019682672,0.02245387,0.030440023,0.019588433,-0.01329313,-0.0034094744,0.0017160863,-0.0109497355,0.0054428396,-0.005535655,0.0005959874,0.0029450422,-0.005930566,-0.008745819,-0.0039590118,0.005497205,195.1365,73.65311,27.194519,25.70422,22.656628,13.147826,14.781292,10.026092,11.436973,12.420969,10.60007,8.392757,9.115521,8.437922,7.726098,6.9447985,8.6000595,7.939581,11.519601,7.3290963,13.090066,7.0946608,4.079259,2.8462296,3.0298672,2.1569884,2.1316915,1.8875115,1.5047102,1.6538554,1.4289652,1.2470465,1.6173002,1.2261732,1.3124782,1.0873487,1.2435639,1.2335043,1.4667577,1.0784507,6.1822834,3.248839,1.735556,1.3078215,1.3888037,1.1359414,1.1009997,1.075595,0.80850077,0.70527,0.7497211,0.814809,0.84653836,0.7524718,0.7364797,0.6925317,0.7698201,0.74012053,0.7587001,0.6301401,calm
-810.7644,79.383606,7.988015,22.1997,6.9489055,1.5496725,-5.3483458,-4.8458824,-6.8330526,4.6858697,-0.19563268,1.451796,-4.640784,4.5050063,-3.4048135,-2.4822052,-0.8917413,2.092228,-8.020343,1.6507803,0.85682493,0.55915135,-0.06731147,0.005080892,0.12061758,0.05605308,-0.02230816,-0.013565602,0.088731036,0.086595476,0.05418747,0.063521,-0.055333108,-0.016411718,0.072636165,0.028207801,-0.039525073,0.0043162643,0.0071663903,0.0062193903,-0.031531014,-0.029144395,-0.035336614,-0.01802959,-0.0053932564,0.008760867,0.0019104441,0.018804725,0.015801657,0.008012684,-0.012463107,-0.012619286,0.029649137,-0.0005632524,0.007851964,-0.01108526,-0.0007548023,-0.008528592,0.0004595122,-0.0155332275,171.20398,79.38138,25.371092,24.18656,22.741833,13.628786,16.41261,11.315892,11.073821,14.706232,11.117918,8.299275,10.755813,9.27282,8.085613,9.062613,9.084575,7.1473203,10.44082,6.8382835,12.723749,7.6078596,4.0357637,2.8090396,3.2465756,2.190439,2.3702233,1.7249197,1.8681159,1.9311575,1.6333809,1.4073617,1.5603987,1.3201454,1.2888459,1.296512,1.2443287,1.2165742,1.4487625,1.0174655,6.498939,3.216165,1.8817836,1.2751583,1.3990159,1.1137706,1.1059766,0.95418453,1.088001,0.91722393,0.94382745,0.79359823,0.8244678,0.7968465,0.7600519,0.80681294,0.75901246,0.82909244,0.8582605,0.66494006,calm
